Année;Nombre de films
1955;3 383
1956;3 342
1957;3 449
1958;3 490
1959;3 513
1960;3 580
1961;3 607
1962;3 701
1963;3 704
1964;3 864
1965;3 989
1966;4 078
1967;4 119
1968;4 193
1969;4 270
1970;4 265
1971;4 283
1972;4 414
1973;4 449
1974;4 710
1975;4 715
1976;4 866
1977;5 064
1978;5 084
1979;5 189
1980;5 256
1981;5 357
1982;5 493
1983;5 293
1984;5 028
1985;4 884
1986;4 579
1987;4 192
1988;4 292
1989;3 821
1990;3 689
1991;3 748
1992;3 952
1993;4 066
1994;4 191
1995;3 933
1996;3 772
1997;4 110
1998;3 953
1999;4 148
2000;4 373
2001;4 449
2002;4 446
2003;4 486
2004;4 600
2005;4 533
2006;4 958
2007;5 143
2008;5 222
2009;5 698
2010;5 950
2011;6 404
2012;6 662
2013;6 857
2014;7 054
2015;7 395
2016;7 799
2017;7 947
2018;8 108
2019;8 198
