entrées (millions);films français;films américains;autres films;Total
1949;164,5;172,7;50,5;387,7
1950;167,2;157,6;45,9;370,7
1951;175,9;149,0;47,9;372,8
1952;175,1;132,3;52,2;359,6
1953;174,2;128,6;67,8;370,6
1954;179,0;130,6;73,2;382,8
1955;184,2;132,6;78,0;394,8
1956;191,5;132,3;75,0;398,8
1957;205,9;132,9;72,8;411,6
1958;180,2;112,9;77,9;371,0
1959;175,2;111,6;66,9;353,7
1960;181,6;101,0;72,0;354,6
1961;168,1;90,5;69,7;328,3
1962;158,7;92,2;60,8;311,7
1963;142,5;89,6;59,1;291,2
1964;134,6;83,8;57,4;275,8
1965;136,1;69,9;53,1;259,1
1966;119,6;65,9;49,2;234,7
1967;110,2;58,2;43,0;211,4
1968;101,6;53,3;48,3;203,2
1969;85,2;48,0;50,7;183,9
1970;90,4;47,9;46,1;184,4
1971;93,8;43,9;39,3;177,0
1972;98,7;44,9;40,8;184,4
1973;103,0;34,7;38,3;176,0
1974;96,7;38,2;44,5;179,4
1975;91,6;48,7;41,4;181,7
1976;90,6;49,1;37,6;177,3
1977;79,2;51,7;39,4;170,3
1978;82,2;58,1;38,2;178,5
1979;89,2;52,1;36,8;178,1
1980;82,6;62,9;22,2;175,4
1981;94,1;58,6;28,8;189,2
1982;107,8;60,7;20,2;201,9
1983;93,0;69,7;21,7;198,9
1984;94,1;70,5;20,5;190,9
1985;78,0;68,7;20,9;175,1
1986;73,5;72,8;17,7;168,1
1987;49,5;59,8;16,1;136,9
1988;48,8;57,0;13,6;124,7
1989;41,4;67,1;9,7;120,9
1990;45,8;68,1;6,9;121,9
1991;36,0;68,2;11,7;117,5
1992;40,5;67,5;5,5;116,0
1993;46,6;75,8;5,8;132,7
1994;35,3;75,8;10,9;124,4
1995;45,9;70,2;11,0;130,2
1996;51,3;74,3;8,5;136,7
1997;52,0;78,0;15,2;149,3
1998;47,5;108,0;13,7;170,6
1999;50,4;83,7;17,0;153,6
2000;47,2;103,3;10,6;165,8
2001;77,3;87,0;14,9;187,5
2002;64,3;92,1;15,5;184,4
2003;60,5;90,5;9,7;173,5
2004;74,7;93,4;19,0;194,6
2005;63,9;80,1;27,4;174,4
2006;83,8;83,0;16,7;187,5
2007;64,6;87,2;21,9;176,8
2008;85,7;81,8;17,8;188,5
2009;73,8;99,8;19,6;199,7
2010;73,6;98,2;30,4;205,1
2011;88,0;99,1;22,9;214,7
2012;81,4;86,4;26,1;201,1
2013;64,6;103,2;14,3;191,1
2014;91,4;92,3;12,1;205,7
2015;72,1;103,5;19,6;202,2
2016;75,6;111,0;19,3;209,7
2017;77,1;99,4;23,7;205,9
2018;77,8;88,0;27,2;197,2
2019;72,7;116,4;13,8;209,2
